roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.7994694,37.0657083,,,1,HLS,[국도 77호선] 화성 봉화교차로,http://cctvsec.ktict.co.kr/4250/boOv/fAbaxJtVjc11GutYnfoHiipfbErz7tatgbKcv6p0pTKZJRQXg5JHwpxWe9/Bxt5FQ3g0aqJEwtApteFpG3b3hiUXxqSUc0Us7CFkBA=
,126.817675,37.0094055,,,1,HLS,[국도 77호선] 평택 원정삼거리,http://cctvsec.ktict.co.kr/4251/98Y4umqBrWPIe2PN68lSIR04rTlsrIL2p6/DBzFbINX/nhem/UREkBmGRmORzMmdxUcbV/TavQiCgUP+bJPTHi9Xi4g8Qex+t89u1tdQaQg=
,126.8044138,37.038,,,1,HLS,[국도 77호선] 화성 이화사거리,http://cctvsec.ktict.co.kr/4252/B4CeimxGuka/upwLxCill3bi7E5awXKmIsOTUhfM5c4wExKBjyGlaNj7kYZBgQTEtIX+7psbix+QJp5K5GsNaObw8s/C41EAqQY0MVtXuUQ=
,126.8048333,37.09397778,,,1,HLS,[국도 77호선] 화성 멱우교남측,http://cctvsec.ktict.co.kr/4253/GC4K0y3HHeXiZ1UqMcM/ME6PdfIv5YX+BItdFjsoS7bk1SY5qCKgSd0eNMOfwrc76DRhr0AWzlvlPzjMMEr32ZKhRTpD1xsDwJbtDPQicHA=
,126.8128277,37.103675,,,1,HLS,[국도 77호선] 화성 멱우교차로,http://cctvsec.ktict.co.kr/4254/MN705HV8B0l8QE7PwiT/dbj+ctrsUOAnuq/YqdFFFpRD7KSZBwNDaKvkvnFoc2/z+iY/Ecj6M1npNdEeImLSAQd0W+CpT599Y9Oyd3QbFz8=
,126.8639138,37.1442222,,,1,HLS,[국도 82호선] 화성 덕우교차로,http://cctvsec.ktict.co.kr/4256/1Re72NfbZEmpyohLx8v/lCsHfQK4UaDpT+hH0iy02LM+oaXEX8x8I8YkCSb97gF0WLY8wwWbhKJHj77QgsJdCs9QvKfrIu5tkrRzHfM8UZE=
,126.8916861,37.1557527,,,1,HLS,[국도 82호선] 화성 율암교차로,http://cctvsec.ktict.co.kr/4257/iO5+4/q14DFx9WlZroL3bekIB43lMNpGk5whY9y2lMZp8t+mpS3esa5Sr5y7NwxN41gMMrEcNTD4F9HVJNLEEX2yJVQsI2bkhHZnkMN4IyU=
,126.921925,37.1494722,,,1,HLS,[국도 82호선] 화성 가재교차로,http://cctvsec.ktict.co.kr/4258/TAUuVZRwkqLT+xCcdHPK1m2CykLgRnx36qYwdFyHf4EB/lyxtnP0hM1tnHycKDuN6jGZ5s7dCKkUqnqW+TspqtRuMkXNtaaf62k2Odr/+YQ=
,126.9132278,37.15615556,,,1,HLS,[국도 82호선] 화성 구장1교북측,http://cctvsec.ktict.co.kr/4259/VSzGF6dRRXnR+73XUsFODnckToH8h5m1b3sLn24go/GwPX094bCGl4j2mBVEi7DRhGM/Xn/bvyqmTmVLOtPwsNZNtRkM6lIRkf4En6iRR4w=
,126.7785,35.036,,,1,HLS,[국도 1호선] 나주 금천교차로,http://cctvsec.ktict.co.kr/4305/ExpC6OEgLGT24xRIaWSq0+jBWhgIv26XQz4cNP1PTmLP1MgPPRc4QJqYC7kouoOyf6DDPPvVkeH8L6Td7ayXsFefNEsaHREShKqxKlFtAuE=
,126.8102,35.0411,,,1,HLS,[국도 1호선] 나주 산포,http://cctvsec.ktict.co.kr/4306/Mb+K0xvF5cCcRRUn42AjXqUWylzcwdez2Ta6+bA6zUhX7HvMfS3NtcZ4n6WeL5yKp9ZSZzJosuLmcVnz3bR9yIYIuzwpwjWNYC1AkxRxOUk=
,126.6447,35.0178,,,1,HLS,[국도 1호선] 나주 대학3,http://cctvsec.ktict.co.kr/4311/HTiz6Ku93dQCvFs6ZjX79RNpK9yNMEO1rksIA2nMr/gK0mszuTiiIL/RKxtltPJ23gUbwxxhDKHjAscuKNLlfLXk8/RGfncxs9Vw+FdyxTo=
,126.9516,35.0811,,,1,HLS,[국도 22호선] 광주 너릿재T,http://cctvsec.ktict.co.kr/4316/u9jfGITjX91h2QaogkKKpRW3JlJxMazXGJxTDC87Nc5xMNmztm/JNYG3lzJuwoUQyBS2k9Al2eOBFw6Erb8VgGCZzZJaf4LDu2zRsbmTzCg=
